conf/sigmod/AbadiC02;f2Lea-RN8dsJ
3hsPMPTl2msJ;5I0ArBmDRcEJ
3hsPMPTl2msJ;ahVfYoqGq6gJ
3hsPMPTl2msJ;JrU1gnfH1sYJ
3hsPMPTl2msJ;lyTJMJmpo8IJ
3hsPMPTl2msJ;UT0h0HcwLyUJ
5I0ArBmDRcEJ;ahVfYoqGq6gJ
5I0ArBmDRcEJ;JrU1gnfH1sYJ
5I0ArBmDRcEJ;lyTJMJmpo8IJ
5I0ArBmDRcEJ;UT0h0HcwLyUJ
ahVfYoqGq6gJ;JrU1gnfH1sYJ
ahVfYoqGq6gJ;lyTJMJmpo8IJ
ahVfYoqGq6gJ;UT0h0HcwLyUJ
JrU1gnfH1sYJ;lyTJMJmpo8IJ
JrU1gnfH1sYJ;UT0h0HcwLyUJ
lyTJMJmpo8IJ;UT0h0HcwLyUJ
conf/sigmod/AdelbergD99;s40fqzss4woJ
conf/sigmod/AdelbergGK95;NbLabaGWoh4J
conf/sigmod/AdelbergGW97;XytbGy--8LMJ
conf/sigmod/AdelbergGW97;zZo47Z-jVX4J
XytbGy--8LMJ;zZo47Z-jVX4J
conf/sigmod/AdiBEY01;3jUi_Yf4DfIJ
conf/sigmod/AdiBEY01;url:http://portal.acm.org/citation.cfm%3Fdoid%3D375663.375759
3jUi_Yf4DfIJ;url:http://portal.acm.org/citation.cfm%3Fdoid%3D375663.375759
conf/sigmod/AdyaGLM95;7YMi5qKSe2EJ
conf/sigmod/AdyaGLM95;bfcbZlt6vngJ
conf/sigmod/AdyaGLM95;EP8u32KwMe4J
conf/sigmod/AdyaGLM95;FlE1JdgElGQJ
7YMi5qKSe2EJ;bfcbZlt6vngJ
7YMi5qKSe2EJ;EP8u32KwMe4J
7YMi5qKSe2EJ;FlE1JdgElGQJ
bfcbZlt6vngJ;EP8u32KwMe4J
bfcbZlt6vngJ;FlE1JdgElGQJ
EP8u32KwMe4J;FlE1JdgElGQJ
conf/sigmod/AfratiLU01;k7zpSukSfYsJ
conf/sigmod/AfratiLU01;U8adXFUIr3EJ
k7zpSukSfYsJ;U8adXFUIr3EJ
conf/sigmod/Agarwal96;ALk7huiKjWAJ
conf/sigmod/Agarwal96;Ca-BABwlsQAJ
conf/sigmod/Agarwal96;Fd0jPlSwFWcJ
ALk7huiKjWAJ;Ca-BABwlsQAJ
ALk7huiKjWAJ;Fd0jPlSwFWcJ
Ca-BABwlsQAJ;Fd0jPlSwFWcJ
conf/sigmod/Aggarwal02;tK1_3wGUIHsJ
conf/sigmod/Aggarwal03;qbubaA6mQawJ
conf/sigmod/AggarwalPWYP99;5uimonC4q_QJ
conf/sigmod/AggarwalPWYP99;G3dX_RTA26MJ
5uimonC4q_QJ;G3dX_RTA26MJ
conf/sigmod/AggarwalWY99;s9hhR-EdDGgJ
conf/sigmod/AggarwalWY99;wjKnsQWl5ZoJ
s9hhR-EdDGgJ;wjKnsQWl5ZoJ
conf/sigmod/AggarwalY00;dfSPs7YoyWsJ
conf/sigmod/AggarwalY00;OV5GSHDaYNMJ
conf/sigmod/AggarwalY00;x5jeMyauzWgJ
dfSPs7YoyWsJ;OV5GSHDaYNMJ
dfSPs7YoyWsJ;x5jeMyauzWgJ
OV5GSHDaYNMJ;x5jeMyauzWgJ
conf/sigmod/AggarwalY01;6i8hYEhbelEJ
conf/sigmod/AggarwalY01;QkTd5WogN-AJ
6i8hYEhbelEJ;QkTd5WogN-AJ
conf/sigmod/AgichteinG03;url:http://portal.acm.org/citation.cfm%3Fid%3D872851
conf/sigmod/AgichteinGV01;GDoFPiEzEhQJ
conf/sigmod/AgichteinGV01;z8s4kW1y7LMJ
GDoFPiEzEhQJ;z8s4kW1y7LMJ
conf/sigmod/AgrawalASY97;3nxl8d4c0t4J
conf/sigmod/AgrawalASY97;7Of1HyK-VnkJ
conf/sigmod/AgrawalASY97;bDiNQAdf8nEJ
conf/sigmod/AgrawalASY97;C85vtVHZmjUJ
conf/sigmod/AgrawalASY97;-XBy73K2jq0J
3nxl8d4c0t4J;7Of1HyK-VnkJ
3nxl8d4c0t4J;bDiNQAdf8nEJ
3nxl8d4c0t4J;C85vtVHZmjUJ
3nxl8d4c0t4J;-XBy73K2jq0J
7Of1HyK-VnkJ;bDiNQAdf8nEJ
7Of1HyK-VnkJ;C85vtVHZmjUJ
7Of1HyK-VnkJ;-XBy73K2jq0J
bDiNQAdf8nEJ;C85vtVHZmjUJ
bDiNQAdf8nEJ;-XBy73K2jq0J
C85vtVHZmjUJ;-XBy73K2jq0J
conf/sigmod/AgrawalCD02;iABZEL2Zoz8J
conf/sigmod/AgrawalCFGHIIMMSS94;bXnzC8MN_joJ
conf/sigmod/AgrawalCN01;2Ua-pWTof_YJ
conf/sigmod/AgrawalES03;HypA8oN4PqsJ
conf/sigmod/AgrawalES03;Wrue2IkpGyEJ
HypA8oN4PqsJ;Wrue2IkpGyEJ
conf/sigmod/AgrawalGGR98;_LE5T2vKPUcJ
conf/sigmod/AgrawalGGR98;1rW7ao6gK-QJ
conf/sigmod/AgrawalGGR98;5E5gcM0xPFAJ
conf/sigmod/AgrawalGGR98;DHbEJyv20WMJ
conf/sigmod/AgrawalGGR98;EQ0ys8s10vcJ
conf/sigmod/AgrawalGGR98;rSTewQ1dQkYJ
conf/sigmod/AgrawalGGR98;UYQpDoh0wo0J
conf/sigmod/AgrawalGGR98;v9JW-UJCD-YJ
conf/sigmod/AgrawalGGR98;x8fDHaNkSUIJ
conf/sigmod/AgrawalGGR98;x92Yw8H9uH4J
conf/sigmod/AgrawalGGR98;y55xkFQJvxAJ
_LE5T2vKPUcJ;1rW7ao6gK-QJ
_LE5T2vKPUcJ;5E5gcM0xPFAJ
_LE5T2vKPUcJ;DHbEJyv20WMJ
_LE5T2vKPUcJ;EQ0ys8s10vcJ
_LE5T2vKPUcJ;rSTewQ1dQkYJ
_LE5T2vKPUcJ;UYQpDoh0wo0J
_LE5T2vKPUcJ;v9JW-UJCD-YJ
_LE5T2vKPUcJ;x8fDHaNkSUIJ
_LE5T2vKPUcJ;x92Yw8H9uH4J
_LE5T2vKPUcJ;y55xkFQJvxAJ
1rW7ao6gK-QJ;5E5gcM0xPFAJ
1rW7ao6gK-QJ;DHbEJyv20WMJ
1rW7ao6gK-QJ;EQ0ys8s10vcJ
1rW7ao6gK-QJ;rSTewQ1dQkYJ
1rW7ao6gK-QJ;UYQpDoh0wo0J
1rW7ao6gK-QJ;v9JW-UJCD-YJ
1rW7ao6gK-QJ;x8fDHaNkSUIJ
1rW7ao6gK-QJ;x92Yw8H9uH4J
1rW7ao6gK-QJ;y55xkFQJvxAJ
5E5gcM0xPFAJ;DHbEJyv20WMJ
5E5gcM0xPFAJ;EQ0ys8s10vcJ
5E5gcM0xPFAJ;rSTewQ1dQkYJ
5E5gcM0xPFAJ;UYQpDoh0wo0J
5E5gcM0xPFAJ;v9JW-UJCD-YJ
5E5gcM0xPFAJ;x8fDHaNkSUIJ
5E5gcM0xPFAJ;x92Yw8H9uH4J
5E5gcM0xPFAJ;y55xkFQJvxAJ
DHbEJyv20WMJ;EQ0ys8s10vcJ
DHbEJyv20WMJ;rSTewQ1dQkYJ
DHbEJyv20WMJ;UYQpDoh0wo0J
DHbEJyv20WMJ;v9JW-UJCD-YJ
DHbEJyv20WMJ;x8fDHaNkSUIJ
DHbEJyv20WMJ;x92Yw8H9uH4J
DHbEJyv20WMJ;y55xkFQJvxAJ
EQ0ys8s10vcJ;rSTewQ1dQkYJ
EQ0ys8s10vcJ;UYQpDoh0wo0J
EQ0ys8s10vcJ;v9JW-UJCD-YJ
EQ0ys8s10vcJ;x8fDHaNkSUIJ
EQ0ys8s10vcJ;x92Yw8H9uH4J
EQ0ys8s10vcJ;y55xkFQJvxAJ
rSTewQ1dQkYJ;UYQpDoh0wo0J
rSTewQ1dQkYJ;v9JW-UJCD-YJ
rSTewQ1dQkYJ;x8fDHaNkSUIJ
rSTewQ1dQkYJ;x92Yw8H9uH4J
rSTewQ1dQkYJ;y55xkFQJvxAJ
UYQpDoh0wo0J;v9JW-UJCD-YJ
UYQpDoh0wo0J;x8fDHaNkSUIJ
UYQpDoh0wo0J;x92Yw8H9uH4J
UYQpDoh0wo0J;y55xkFQJvxAJ
v9JW-UJCD-YJ;x8fDHaNkSUIJ
v9JW-UJCD-YJ;x92Yw8H9uH4J
v9JW-UJCD-YJ;y55xkFQJvxAJ
x8fDHaNkSUIJ;x92Yw8H9uH4J
x8fDHaNkSUIJ;y55xkFQJvxAJ
x92Yw8H9uH4J;y55xkFQJvxAJ
conf/sigmod/AgrawalK03;ewoQO00BuFoJ
conf/sigmod/AgrawalS00;ufPUBsN4eg0J
conf/sigmod/AgrawalW00;wivJNEQEWzMJ
conf/sigmod/Ahn94;5s6b10Hik30J
conf/sigmod/Al-KhalifaYJ03;boJKiPCpIxkJ
conf/sigmod/AltinelABFSZ99;4m_zFz0kP7cJ
conf/sigmod/AltinelABFSZ99;ebmulQBhqZEJ
conf/sigmod/AltinelABFSZ99;LCmaogUdo_YJ
conf/sigmod/AltinelABFSZ99;ShFgK7Iev-QJ
conf/sigmod/AltinelABFSZ99;WZDgK2THjbQJ
4m_zFz0kP7cJ;ebmulQBhqZEJ
4m_zFz0kP7cJ;LCmaogUdo_YJ
4m_zFz0kP7cJ;ShFgK7Iev-QJ
4m_zFz0kP7cJ;WZDgK2THjbQJ
ebmulQBhqZEJ;LCmaogUdo_YJ
ebmulQBhqZEJ;ShFgK7Iev-QJ
ebmulQBhqZEJ;WZDgK2THjbQJ
LCmaogUdo_YJ;ShFgK7Iev-QJ
LCmaogUdo_YJ;WZDgK2THjbQJ
ShFgK7Iev-QJ;WZDgK2THjbQJ
conf/sigmod/AltinelLKMPLWB02;HtYTQ-fN8ccJ
conf/sigmod/AltinelLKMPLWB02;zzg3KI_fyyIJ
HtYTQ-fN8ccJ;zzg3KI_fyyIJ
conf/sigmod/AmbiteABKMMMPT98;iE-UE2bDGZ8J
conf/sigmod/AmbiteABKMMMPT98;L7XmLpQLXBIJ
conf/sigmod/AmbiteABKMMMPT98;YAkpVC1qgaIJ
iE-UE2bDGZ8J;L7XmLpQLXBIJ
iE-UE2bDGZ8J;YAkpVC1qgaIJ
L7XmLpQLXBIJ;YAkpVC1qgaIJ
conf/sigmod/Amer-YahiaCLS01;DFubU20j1OIJ
conf/sigmod/Amer-YahiaCLS01;VzfXEsmoyUcJ
conf/sigmod/Amer-YahiaCLS01;wGxcAPsmHgIJ
conf/sigmod/Amer-YahiaCLS01;WsCqveNDjjUJ
DFubU20j1OIJ;VzfXEsmoyUcJ
DFubU20j1OIJ;wGxcAPsmHgIJ
DFubU20j1OIJ;WsCqveNDjjUJ
VzfXEsmoyUcJ;wGxcAPsmHgIJ
VzfXEsmoyUcJ;WsCqveNDjjUJ
wGxcAPsmHgIJ;WsCqveNDjjUJ
conf/sigmod/Amer-YahiaFSX03;7-b5YXuGJS0J
conf/sigmod/Amer-YahiaFSX03;fm69LHjS4T0J
conf/sigmod/Amer-YahiaFSX03;IgRat6Xyu2EJ
7-b5YXuGJS0J;fm69LHjS4T0J
7-b5YXuGJS0J;IgRat6Xyu2EJ
fm69LHjS4T0J;IgRat6Xyu2EJ
conf/sigmod/AndersonAF98;_EbKUPc1jYAJ
conf/sigmod/AndersonBKW98;H6eMdbXATmkJ
conf/sigmod/AndersonBKW98;j6v2b9hN-R4J
conf/sigmod/AndersonBKW98;zabWzVjkZNYJ
H6eMdbXATmkJ;j6v2b9hN-R4J
H6eMdbXATmkJ;zabWzVjkZNYJ
j6v2b9hN-R4J;zabWzVjkZNYJ
conf/sigmod/AnkerstBKS99;GFTU2PvKY_gJ
conf/sigmod/AnkerstBKS99;hEemQ37_mPcJ
conf/sigmod/AnkerstBKS99;Hj3vyh0TJVsJ
conf/sigmod/AnkerstBKS99;jSUcrxtXhw4J
conf/sigmod/AnkerstBKS99;K1ZdQsRoNloJ
conf/sigmod/AnkerstBKS99;rgEDmTFPFY4J
GFTU2PvKY_gJ;hEemQ37_mPcJ
GFTU2PvKY_gJ;Hj3vyh0TJVsJ
GFTU2PvKY_gJ;jSUcrxtXhw4J
GFTU2PvKY_gJ;K1ZdQsRoNloJ
GFTU2PvKY_gJ;rgEDmTFPFY4J
hEemQ37_mPcJ;Hj3vyh0TJVsJ
hEemQ37_mPcJ;jSUcrxtXhw4J
hEemQ37_mPcJ;K1ZdQsRoNloJ
hEemQ37_mPcJ;rgEDmTFPFY4J
Hj3vyh0TJVsJ;jSUcrxtXhw4J
Hj3vyh0TJVsJ;K1ZdQsRoNloJ
Hj3vyh0TJVsJ;rgEDmTFPFY4J
jSUcrxtXhw4J;K1ZdQsRoNloJ
jSUcrxtXhw4J;rgEDmTFPFY4J
K1ZdQsRoNloJ;rgEDmTFPFY4J
conf/sigmod/AnnamalaiCD00;0Igfv6jL3jwJ
conf/sigmod/AntonJLPZZ02;89P3EdEDuOEJ
conf/sigmod/ArasuBBDIRW03;1DKKwROqEeYJ
conf/sigmod/ArasuBBDIRW03;7D59wPTtkdcJ
conf/sigmod/ArasuBBDIRW03;eXulm3jwflAJ
1DKKwROqEeYJ;7D59wPTtkdcJ
1DKKwROqEeYJ;eXulm3jwflAJ
7D59wPTtkdcJ;eXulm3jwflAJ
conf/sigmod/ArasuG03;jp9ptMpdoGwJ
conf/sigmod/ArasuG03;kfADlOEkwOkJ
conf/sigmod/ArasuG03;zN8ngmWNDlgJ
jp9ptMpdoGwJ;kfADlOEkwOkJ
jp9ptMpdoGwJ;zN8ngmWNDlgJ
kfADlOEkwOkJ;zN8ngmWNDlgJ
conf/sigmod/ArefBV95;ht_8Iq3SZ80J
conf/sigmod/ArefBV95;K7mfVCHc3noJ
ht_8Iq3SZ80J;K7mfVCHc3noJ
conf/sigmod/Arpaci-DusseauACHP97;6_FvrRYnxHYJ
conf/sigmod/Arpaci-DusseauACHP97;aCCAyNhJFtsJ
conf/sigmod/Arpaci-DusseauACHP97;E_eOZJYat6IJ
conf/sigmod/Arpaci-DusseauACHP97;OaNzji_-7tsJ
6_FvrRYnxHYJ;aCCAyNhJFtsJ
6_FvrRYnxHYJ;E_eOZJYat6IJ
6_FvrRYnxHYJ;OaNzji_-7tsJ
aCCAyNhJFtsJ;E_eOZJYat6IJ
aCCAyNhJFtsJ;OaNzji_-7tsJ
E_eOZJYat6IJ;OaNzji_-7tsJ
conf/sigmod/AshleyFHLNP95;9uxj2XzGt9UJ
